date,close,high,low,open,since,volume,weightedAverage
02/08/2017 00:00,291.8489,298.5,275,281.9997,1.50163E+18,2453.387387,287.0158209
02/08/2017 00:30,321.9998,321.9998,291,291.5,1.50165E+18,724.9572288,301.4876753
02/08/2017 01:00,289.44,320,287,320,1.50165E+18,467.6720244,302.6102852
02/08/2017 01:30,290.2,314,290.0003,291.0004,1.50165E+18,249.7922037,296.5611767
02/08/2017 02:00,297.9999,299.7993,288.7199,290.5006,1.50165E+18,132.3458502,294.5407572
02/08/2017 02:30,299.7499,299.7993,295,295,1.50165E+18,48.9913367,298.523652
02/08/2017 03:00,299.0002,304.0999,291.5018,299,1.50165E+18,127.5007022,294.1620867
02/08/2017 03:30,309,309,299.0025,303.8,1.50165E+18,15.15607272,305.0476466
02/08/2017 04:00,309,318.9991,309,309,1.50165E+18,39.380257,314.3530492
02/08/2017 04:30,308.49,317.997,302.9994,313.9999,1.50165E+18,73.62112505,308.1257588
02/08/2017 05:00,312.5129,320,311,311.0001,1.50165E+18,117.8988721,316.5350794
02/08/2017 05:30,329.992,329.9996,312.01,319.9952,1.50165E+18,1181.226722,320.6091185
02/08/2017 06:00,337.9999,345,325.21,329.9906,1.50165E+18,1623.501792,338.3627029
02/08/2017 06:30,319.9974,338,315,337.9986,1.50166E+18,1647.054568,320.22524
02/08/2017 07:00,329.9998,335,318,320,1.50166E+18,1958.418082,325.2354404
02/08/2017 07:30,333.4999,334.9999,326,329.1181,1.50166E+18,1264.809063,328.9463238
02/08/2017 08:00,344,344.5,333.4,333.4,1.50166E+18,1539.049695,341.4521064
02/08/2017 08:30,357.0005,360,343,343.8,1.50166E+18,1472.122196,350.0499751
02/08/2017 09:00,384.4984,410,357,357.0001,1.50167E+18,2535.913923,382.6499063
02/08/2017 09:30,355,384.9974,350,383.9924,1.50167E+18,752.9566583,365.027791
02/08/2017 10:00,381.9988,390,350,355.0052,1.50167E+18,2134.820686,371.4223981
02/08/2017 10:30,402.9999,403,379,379.5,1.50167E+18,2074.401264,392.7002035
02/08/2017 11:00,549,550,402,402.9952,1.50167E+18,4147.31023,448.6089934
02/08/2017 11:30,550,623.2588,430,548.9986,1.50167E+18,8106.837544,529.6177051
02/08/2017 12:00,539.11,574.99,520,545,1.50168E+18,3901.879822,544.0116843
02/08/2017 12:30,590,599.5,540,540,1.50168E+18,3205.777522,573.3817016
02/08/2017 13:00,636,680,584,590,1.50168E+18,3681.100765,623.9648155
02/08/2017 13:30,631.0001,695,631,636,1.50168E+18,3119.44045,667.9292947
02/08/2017 14:00,562.999,665,451,663,1.50168E+18,5556.249657,545.746328
02/08/2017 14:30,550,594,480.113,550,1.50168E+18,4206.180263,544.6667608
02/08/2017 15:00,471.2,573,471.1,550,1.50169E+18,2500.223081,520.0190331
02/08/2017 15:30,494.8999,520,455.0001,471.2,1.50169E+18,3529.344417,485.6301216
02/08/2017 16:00,401,495,390.424,494.8999,1.50169E+18,2668.548395,444.4693795
02/08/2017 16:30,370.0001,425,360,401,1.50169E+18,4496.38802,390.1476442
02/08/2017 17:00,389,448.8593,369.0004,378.9997,1.50169E+18,3399.678684,398.1327691
02/08/2017 17:30,402.4391,425,380,389,1.5017E+18,2356.816774,401.2828782
02/08/2017 18:00,392,402.45,385.0201,402.4391,1.5017E+18,668.9151038,393.8390777
02/08/2017 18:30,335,391.9973,329.63,391,1.5017E+18,2665.698353,357.7931172
02/08/2017 19:00,300,357.9998,300,335,1.5017E+18,3180.848825,329.7792161
02/08/2017 19:30,267,314,260.5,300,1.5017E+18,3422.461345,288.2979747
02/08/2017 20:00,325,325,253,266,1.5017E+18,4257.999974,284.8438275
02/08/2017 20:30,341.9937,448.9,301.0101,320,1.50171E+18,7925.150058,357.9057215
02/08/2017 21:00,367,409,340,344.6,1.50171E+18,3565.23617,376.7665605
02/08/2017 21:30,327,369,310,368.9973,1.50171E+18,2560.786909,331.1102416
02/08/2017 22:00,347,369,327.9974,327.9974,1.50171E+18,1678.671626,348.331378
02/08/2017 22:30,370,374,341,344.5,1.50171E+18,1759.047602,361.7020612
02/08/2017 23:00,376.5628,396,365,366.1,1.50172E+18,1477.407708,379.193962
02/08/2017 23:30,398.7638,398.7638,376.5628,379,1.50172E+18,646.1802925,386.4128372
03/08/2017 00:00,415.0003,428,380,397.9999,1.50172E+18,1956.332704,407.6727965
03/08/2017 00:30,390.0026,420,345,415,1.50172E+18,1381.77154,385.7065728
03/08/2017 01:00,410,425.1973,387.2,390.0026,1.50172E+18,1130.808973,406.6106285
03/08/2017 01:30,418.3997,418.9952,403.3675,410.0048,1.50173E+18,493.7965637,411.1411996
03/08/2017 02:00,418,418.9943,393.002,418.3952,1.50173E+18,419.657188,410.3903714
03/08/2017 02:30,453.99,453.99,415.5034,416.9952,1.50173E+18,1353.836835,442.5224023
03/08/2017 03:00,474.9,489,445.3235,455,1.50173E+18,1196.161541,473.1904447
03/08/2017 03:30,419.9999,474.8999,390,474.8999,1.50173E+18,978.6684204,431.4460462
03/08/2017 04:00,448,464.9899,412,420,1.50173E+18,617.2818138,434.1462152
03/08/2017 04:30,443.9952,467.99,423.0102,447.9952,1.50173E+18,728.0335599,451.3721166
03/08/2017 05:00,439.7151,455,430,443.9784,1.50174E+18,554.4222481,438.2172143
03/08/2017 05:30,435,445,430,439.6999,1.50174E+18,419.2033423,436.3098136
03/08/2017 06:00,432,436,423,436,1.50174E+18,660.3945614,430.736916
03/08/2017 06:30,383,432,380,432,1.50174E+18,1026.768575,403.9375755
03/08/2017 07:00,403,420,382.0501,385,1.50175E+18,1073.626382,397.5697578
03/08/2017 07:30,405,410,390,399,1.50175E+18,579.1832915,402.050812
03/08/2017 08:00,390,408.7721,389.0001,403,1.50175E+18,721.8440452,397.4313532
03/08/2017 08:30,358,397,356.121,390,1.50175E+18,1358.863577,374.4124521
03/08/2017 09:00,370,380,357.3,357.3,1.50175E+18,896.9547798,366.1164519
03/08/2017 09:30,404.9999,405,370,370,1.50175E+18,1820.01511,388.9683481
03/08/2017 10:00,414.0001,420,400,404.9999,1.50176E+18,1595.517689,408.5307455
03/08/2017 10:30,388,418.456,383.5,414.0001,1.50176E+18,1203.566503,396.7990071
03/08/2017 11:00,405,414,384.01,387.99,1.50176E+18,955.7609174,401.9221426
03/08/2017 11:30,404,409.9984,400,404.9999,1.50176E+18,880.7683826,401.7938184
03/08/2017 12:00,395,403,394.9401,400.111,1.50176E+18,381.9792317,398.1640023
03/08/2017 12:30,385.9999,395,381,394.94,1.50177E+18,784.4449781,388.0516118
03/08/2017 13:00,387.0003,390.9949,376,385.9998,1.50177E+18,649.6028083,382.8231673
03/08/2017 13:30,383.8,394,380,387,1.50177E+18,769.4333762,388.0322958
03/08/2017 14:00,373.5001,386.1257,371,383.5,1.50177E+18,695.7222267,377.3714062
03/08/2017 14:30,362,375,356.01,373.1,1.50177E+18,1019.304502,364.0729634
03/08/2017 15:00,365,379,360,362,1.50178E+18,673.4453568,366.1980421
03/08/2017 15:30,363,365.5797,355.0003,365,1.50178E+18,507.184832,361.1239229
03/08/2017 16:00,365,378,363,365,1.50178E+18,739.2772797,370.3238817
03/08/2017 16:30,353.9895,368.9996,350.8798,366,1.50178E+18,1030.703697,354.7181428
03/08/2017 17:00,350.8798,358.4,350.8798,353.9699,1.50178E+18,497.1427824,353.9561979
03/08/2017 17:30,335.1,354.6722,328.1104,350.8798,1.50178E+18,1559.470613,342.595426
03/08/2017 18:00,330,344,320,335.01,1.50178E+18,1506.550023,329.867164
03/08/2017 18:30,350,355,329.7916,330,1.50179E+18,1515.342158,342.3983034
03/08/2017 19:00,353.9999,356,340.1,350,1.50179E+18,546.3356527,349.9956843
03/08/2017 19:30,357,369,351.0026,352,1.50179E+18,1282.693842,361.250848
03/08/2017 20:00,355,363,341,356,1.50179E+18,571.6277973,354.4084426
03/08/2017 20:30,334.9999,356,325.4112,355,1.50179E+18,758.6192425,335.8769311
03/08/2017 21:00,338.1,348.99,330.11,334.9999,1.5018E+18,467.3955842,340.9267825
03/08/2017 21:30,330.2001,341.9966,325,338.1,1.5018E+18,458.5582397,331.6943075
03/08/2017 22:00,343.253,345,325,330,1.5018E+18,562.6315368,335.6103247
03/08/2017 22:30,332.9895,343,330,343,1.5018E+18,383.8172013,337.6975246
